City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
3,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
4,Hilo,US,71.6,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Antofagasta,CL,73.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
7,Faanui,PF,81.61,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Hermanus,ZA,61.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Port Elizabeth,ZA,68.0,light rain,-33.918,25.5701,39 On Nile Guest House
10,Butaritari,KI,80.56,clear sky,3.0707,172.7902,Isles Sunset Lodge
12,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Aloleng,PH,76.78,few clouds,16.1307,119.7824,Agno Umbrella Rocks
16,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
18,Port Lincoln,AU,60.03,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
19,Busselton,AU,64.0,overcast clouds,-33.65,115.3333,Observatory Guest House
20,Tabou,CI,79.14,broken clouds,4.423,-7.3528,hotêl doufoulougou
21,Sao Felix Do Xingu,BR,78.66,moderate rain,-6.6447,-51.995,Rio Xingu Camping
26,Talcahuano,CL,75.2,clear sky,-36.7167,-73.1167,Hotel Terramar
28,Sao Filipe,CV,70.43,clear sky,14.8961,-24.4956,Tortuga B&B
31,Palauig,PH,76.53,scattered clouds,15.435,119.9045,Myhousebythesea
32,Gorontalo,ID,72.7,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
36,Takoradi,GH,80.87,scattered clouds,4.8845,-1.7554,Raybow International Hotel
37,Rapid Valley,US,61.0,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
39,Auki,SB,80.02,overcast clouds,-8.7676,160.7034,Auki Motel
40,Buraydah,SA,64.4,clear sky,26.326,43.975,فندق راحة السلام
42,Kirakira,SB,81.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
44,Richards Bay,ZA,73.74,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
45,Wajir,KE,78.42,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
46,Marawi,PH,73.0,overcast clouds,7.9986,124.2928,Derogongan Residence
48,Inhambane,MZ,73.96,clear sky,-23.865,35.3833,Oceano
50,Keti Bandar,PK,76.39,clear sky,24.1447,67.4497,Haji laloo memon house
55,Cape Town,ZA,66.99,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
58,Los Llanos De Aridane,ES,64.4,few clouds,28.6585,-17.9182,Valle Aridane
59,Alyangula,AU,78.8,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
62,Kieta,PG,77.31,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
65,Awjilah,LY,65.55,clear sky,29.1081,21.2869,
67,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
68,Guerrero Negro,MX,65.01,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
69,Namibe,AO,76.59,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
71,Kununurra,AU,80.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
73,Kampot,KH,77.0,few clouds,10.6167,104.1833,Two Moons Hotel
75,Sur,OM,73.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
76,Port Alfred,ZA,66.0,few clouds,-33.5906,26.891,The Halyards Hotel
77,Seybaplaya,MX,78.8,few clouds,19.65,-90.6667,sala de fiesta san Rafael
79,Geraldton,AU,77.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
83,Atuona,PF,79.77,scattered clouds,-9.8,-139.0333,Villa Enata
84,Mar Del Plata,AR,84.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
86,Port Blair,IN,79.29,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
87,Praia Da Vitoria,PT,62.6,broken clouds,38.7333,-27.0667,Hotel Branco I
88,Rikitea,PF,80.76,light rain,-23.1203,-134.9692,Pension Maro'i
89,Toda Raisingh,IN,69.08,clear sky,26.0252,75.4849,Modi House
90,Saint-Philippe,RE,77.0,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
91,Batemans Bay,AU,62.01,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
94,Puerto Ayora,EC,86.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
97,Maningrida,AU,78.91,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
98,Moa,CU,80.13,scattered clouds,20.6569,-74.9403,Renta en Divisa
100,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
102,Marzuq,YE,61.18,few clouds,14.4,46.4667,
103,Ancud,CL,66.2,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
104,Kutum,SD,64.62,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
105,Sakakah,SA,62.6,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
106,Ouadda,CF,76.98,broken clouds,8.0777,22.4007,
108,Alofi,NU,82.4,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
110,Ishurdi,BD,67.86,clear sky,24.1333,89.0833,Rafiur Rahman
112,Mangrol,IN,74.39,clear sky,21.1167,70.1167,Hotel The Royal Honours
115,Nuqui,CO,81.01,light rain,5.7125,-77.2708,Hotel Nuquimar
117,Ayame,CI,77.32,overcast clouds,5.6083,-3.1563,Hotel Bossan
118,Aripuana,BR,86.59,broken clouds,-9.1667,-60.6333,
119,Bredasdorp,ZA,62.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
