City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Chokurdakh,RU,70.6333,147.9167,-14.13,89,100,11.95,overcast clouds
1,Carnarvon,AU,-24.8667,113.6333,77.0,100,0,9.22,clear sky
2,Prince George,CA,53.9166,-122.753,44.01,48,75,14.97,broken clouds
3,Georgetown,MY,5.4112,100.3354,79.0,94,20,4.61,few clouds
4,Hilo,US,19.7297,-155.09,71.6,78,90,5.93,heavy intensity rain
5,Antofagasta,CL,-23.65,-70.4,73.0,73,20,17.27,few clouds
6,Straumen,NO,63.8709,11.2999,30.99,93,40,5.75,scattered clouds
7,Faanui,PF,-16.4833,-151.75,81.61,77,100,18.68,light rain
8,Hermanus,ZA,-34.4187,19.2345,61.0,90,98,6.98,overcast clouds
9,Port Elizabeth,ZA,-33.918,25.5701,68.0,88,90,9.22,light rain
10,Butaritari,KI,3.0707,172.7902,80.56,79,0,8.16,clear sky
11,Mandan,US,46.8267,-100.8896,57.2,35,1,23.02,clear sky
12,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,75,5.75,broken clouds
13,Provideniya,RU,64.3833,-173.3,31.89,98,100,19.44,snow
14,Aloleng,PH,16.1307,119.7824,76.78,75,24,7.07,few clouds
15,College,US,64.8569,-147.8028,16.0,78,90,4.61,light snow
16,Avarua,CK,-21.2078,-159.775,84.2,79,40,4.61,light rain
17,Tilichiki,RU,60.4667,166.1,-20.56,83,100,7.29,overcast clouds
18,Port Lincoln,AU,-34.7333,135.8667,60.03,80,28,14.34,scattered clouds
19,Busselton,AU,-33.65,115.3333,64.0,87,100,1.99,overcast clouds
20,Tabou,CI,4.423,-7.3528,79.14,85,79,7.67,broken clouds
21,Sao Felix Do Xingu,BR,-6.6447,-51.995,78.66,93,91,2.89,moderate rain
22,Kangaatsiaq,GL,68.3065,-53.4641,12.45,96,100,12.64,overcast clouds
23,Jamestown,US,42.097,-79.2353,30.0,91,1,8.68,clear sky
24,Ust-Kan,RU,50.9276,84.761,17.46,84,100,4.63,overcast clouds
25,Yar-Sale,RU,66.8333,70.8333,-22.79,86,94,8.1,overcast clouds
26,Talcahuano,CL,-36.7167,-73.1167,75.2,69,0,19.57,clear sky
27,Orlik,RU,52.5178,99.825,9.05,86,58,4.43,broken clouds
28,Sao Filipe,CV,14.8961,-24.4956,70.43,77,2,12.28,clear sky
29,New Norfolk,AU,-42.7826,147.0587,55.99,84,100,2.04,overcast clouds
30,Broome,US,42.2506,-75.833,28.0,50,1,10.36,clear sky
31,Palauig,PH,15.435,119.9045,76.53,69,50,3.06,scattered clouds
32,Gorontalo,ID,0.5412,123.0595,72.7,87,68,3.38,broken clouds
33,Barrow,US,71.2906,-156.7887,-14.8,70,90,16.11,haze
34,Dunedin,NZ,-45.8742,170.5036,53.01,65,62,18.01,broken clouds
35,Belaya Gora,RU,68.5333,146.4167,-12.75,90,100,7.81,overcast clouds
36,Takoradi,GH,4.8845,-1.7554,80.87,86,31,7.94,scattered clouds
37,Rapid Valley,US,44.0625,-103.1463,61.0,25,1,10.36,clear sky
38,Sorland,NO,67.667,12.6934,28.4,80,75,2.3,light snow
39,Auki,SB,-8.7676,160.7034,80.02,82,100,2.98,overcast clouds
40,Buraydah,SA,26.326,43.975,64.4,36,0,5.75,clear sky
41,Qaanaaq,GL,77.484,-69.3632,-13.86,64,0,5.75,clear sky
42,Kirakira,SB,-10.4544,161.9205,81.81,78,100,3.8,overcast clouds
43,Hobart,AU,-42.8794,147.3294,55.99,88,75,8.05,broken clouds
44,Richards Bay,ZA,-28.783,32.0377,73.74,84,84,7.61,broken clouds
45,Wajir,KE,1.7471,40.0573,78.42,55,0,19.46,clear sky
46,Marawi,PH,7.9986,124.2928,73.0,90,88,5.99,overcast clouds
47,Znamenskoye,RU,57.1281,73.8282,27.52,98,100,10.54,snow
48,Inhambane,MZ,-23.865,35.3833,73.96,80,10,5.75,clear sky
49,Linxia,CN,35.6003,103.2064,37.31,70,0,2.71,clear sky
50,Keti Bandar,PK,24.1447,67.4497,76.39,70,0,15.75,clear sky
51,Leningradskiy,RU,69.3833,178.4167,-15.03,87,100,7.38,overcast clouds
52,Tiksi,RU,71.6872,128.8694,-16.29,87,100,6.15,overcast clouds
53,Saskylakh,RU,71.9167,114.0833,-30.15,83,98,3.47,overcast clouds
54,Okhotsk,RU,59.3833,143.3,-17.48,79,0,13.2,clear sky
55,Cape Town,ZA,-33.9258,18.4232,66.99,77,20,9.22,few clouds
56,Muros,ES,42.7762,-9.0603,46.99,68,1,1.01,clear sky
57,Bluff,NZ,-46.6,168.3333,55.0,66,91,10.0,overcast clouds
